Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-06 10:32:02,2018-03-06 11:15:20,"43m - 17,777s",PASSED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-06 10:32:02,2018-03-06 10:32:02,"0,282s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 10:32:02,2018-03-06 10:32:02,"0,014s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 10:32:02,2018-03-06 10:32:02,"0,001s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-06 10:32:02,2018-03-06 10:32:02,"0,006s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-06 10:32:02,2018-03-06 10:33:30,"1m - 27,620s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 10:32:03,2018-03-06 10:32:03,"0,001s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 10:32:03,2018-03-06 10:32:03,"0,000s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 10:32:03,2018-03-06 10:32:03,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 10:32:03,2018-03-06 10:32:03,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 10:32:03,2018-03-06 10:32:03,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 10:32:03,2018-03-06 10:32:19,"16,227s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 10:32:19,2018-03-06 10:32:19,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 10:32:19,2018-03-06 10:32:25,"6,656s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 10:32:25,2018-03-06 10:32:25,"0,002s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 10:32:25,2018-03-06 10:32:34,"8,229s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 10:32:34,2018-03-06 10:32:34,"0,001s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 10:32:34,2018-03-06 10:33:02,"27,925s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 10:33:02,2018-03-06 10:33:02,"0,000s",PASSED
