Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-06 13:45:30,2018-03-06 13:48:57,"3m - 27,149s",PASSED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,378s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,023s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,001s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,007s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:47:15,"1m - 44,403s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,001s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,002s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,002s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:31,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 13:45:31,2018-03-06 13:45:52,"20,737s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:45:52,2018-03-06 13:45:52,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 13:45:52,2018-03-06 13:45:59,"7,412s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:45:59,2018-03-06 13:45:59,"0,000s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 13:45:59,2018-03-06 13:46:09,"9,063s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:46:09,2018-03-06 13:46:09,"0,000s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 13:46:09,2018-03-06 13:46:44,"35,047s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:46:44,2018-03-06 13:46:44,"0,001s",PASSED
"Statement - iconmap += CustomKeywords.cupakeysDl.iconad.iconadd(""unionjack"", LoadTimeCorrector, step, run, device, timeStamp, iconcount)",Chrome 64.0.3282.186,,2018-03-06 13:46:44,2018-03-06 13:46:49,"5,183s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:46:49,2018-03-06 13:46:49,"0,000s",PASSED
Statement - (iconcount++),Chrome 64.0.3282.186,,2018-03-06 13:46:49,2018-03-06 13:46:49,"0,000s",PASSED
cupakeysDl.iconres.iconresize,Chrome 64.0.3282.186,,2018-03-06 13:46:49,2018-03-06 13:47:10,"21,092s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:47:10,2018-03-06 13:47:10,"0,001s",PASSED
cupakeysDl.slink.svlink,Chrome 64.0.3282.186,,2018-03-06 13:47:10,2018-03-06 13:47:12,"1,951s",PASSED
cupakeysDl.endsession.finishsession,Chrome 64.0.3282.186,,2018-03-06 13:47:12,2018-03-06 13:47:15,"3,563s",PASSED
,,,,,,
Test Cases/CuPaStefanie/2,Chrome 64.0.3282.186,,2018-03-06 13:47:15,2018-03-06 13:48:10,"54,941s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 13:47:16,2018-03-06 13:47:16,"0,002s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 13:47:16,2018-03-06 13:47:16,"0,000s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 13:47:16,2018-03-06 13:47:16,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 13:47:16,2018-03-06 13:47:16,"0,000s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 13:47:16,2018-03-06 13:47:16,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 13:47:16,2018-03-06 13:47:31,"15,240s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:47:31,2018-03-06 13:47:31,"0,000s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 13:47:31,2018-03-06 13:47:37,"6,706s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:47:37,2018-03-06 13:47:37,"0,000s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 13:47:37,2018-03-06 13:47:46,"8,439s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:47:46,2018-03-06 13:47:46,"0,001s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 13:47:46,2018-03-06 13:47:56,"10,363s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 13:47:56,2018-03-06 13:47:56,"0,001s",PASSED
