Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-06 11:36:41,2018-03-06 11:39:56,"3m - 15,710s",PASSED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-06 11:36:41,2018-03-06 11:36:41,"0,331s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 11:36:41,2018-03-06 11:36:41,"0,023s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 11:36:41,2018-03-06 11:36:41,"0,001s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-06 11:36:41,2018-03-06 11:36:41,"0,011s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-06 11:36:41,2018-03-06 11:38:13,"1m - 31,759s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 11:36:42,2018-03-06 11:36:42,"0,001s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 11:36:42,2018-03-06 11:36:42,"0,003s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 11:36:42,2018-03-06 11:36:42,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 11:36:42,2018-03-06 11:36:42,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 11:36:42,2018-03-06 11:36:42,"0,001s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 11:36:42,2018-03-06 11:36:58,"16,632s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 11:36:58,2018-03-06 11:36:58,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 11:36:58,2018-03-06 11:37:04,"5,732s",PASSED
