Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-06 12:43:12,2018-03-06 12:46:22,"3m - 9,646s",PASSED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-06 12:43:12,2018-03-06 12:43:13,"0,318s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,019s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,002s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,007s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:44:39,"1m - 26,366s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,010s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,001s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:13,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 12:43:13,2018-03-06 12:43:29,"16,082s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 12:43:29,2018-03-06 12:43:29,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 12:43:29,2018-03-06 12:43:35,"5,824s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 12:43:35,2018-03-06 12:43:35,"0,001s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 12:43:35,2018-03-06 12:43:43,"7,886s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 12:43:43,2018-03-06 12:43:43,"0,000s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 12:43:43,2018-03-06 12:44:11,"28,618s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 12:44:11,2018-03-06 12:44:11,"0,002s",PASSED
"Statement - iconmap += CustomKeywords.cupakeysDl.iconad.iconadd(""unionjack"", LoadTimeCorrector, step, run, device, timeStamp, iconcount)",Chrome 64.0.3282.186,,2018-03-06 12:44:11,2018-03-06 12:44:16,"4,400s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 12:44:16,2018-03-06 12:44:16,"0,002s",PASSED
Statement - (iconcount++),Chrome 64.0.3282.186,,2018-03-06 12:44:16,2018-03-06 12:44:16,"0,001s",PASSED
