Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-05 16:03:31,2018-03-05 16:41:49,"38m - 18,517s",FAILED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-05 16:03:31,2018-03-05 16:03:32,"0,266s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:03:31,2018-03-05 16:03:31,"0,015s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:03:31,2018-03-05 16:03:31,"0,001s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-05 16:03:31,2018-03-05 16:03:32,"0,005s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-05 16:03:32,2018-03-05 16:05:16,"1m - 44,559s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:03:32,2018-03-05 16:03:32,"0,001s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:03:32,2018-03-05 16:03:32,"0,002s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:03:32,2018-03-05 16:03:32,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:03:32,2018-03-05 16:03:32,"0,000s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:03:32,2018-03-05 16:03:32,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-05 16:03:32,2018-03-05 16:03:56,"24,478s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:03:56,2018-03-05 16:03:56,"0,000s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-05 16:03:56,2018-03-05 16:04:02,"5,447s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:04:02,2018-03-05 16:04:02,"0,001s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-05 16:04:02,2018-03-05 16:04:12,"10,604s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:04:12,2018-03-05 16:04:12,"0,001s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-05 16:04:12,2018-03-05 16:04:45,"32,248s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:04:45,2018-03-05 16:04:45,"0,000s",PASSED
"Statement - iconmap += CustomKeywords.cupakeysDl.iconad.iconadd(""unionjack"", LoadTimeCorrector, step, run, device, timeStamp, iconcount)",Chrome 64.0.3282.186,,2018-03-05 16:04:45,2018-03-05 16:04:51,"5,989s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:04:51,2018-03-05 16:04:51,"0,001s",PASSED
Statement - (iconcount++),Chrome 64.0.3282.186,,2018-03-05 16:04:51,2018-03-05 16:04:51,"0,000s",PASSED
cupakeysDl.iconres.iconresize,Chrome 64.0.3282.186,,2018-03-05 16:04:51,2018-03-05 16:05:08,"17,787s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:05:08,2018-03-05 16:05:08,"0,001s",PASSED
cupakeysDl.slink.svlink,Chrome 64.0.3282.186,,2018-03-05 16:05:08,2018-03-05 16:05:12,"4,168s",PASSED
cupakeysDl.endsession.finishsession,Chrome 64.0.3282.186,,2018-03-05 16:05:12,2018-03-05 16:05:16,"3,588s",PASSED
,,,,,,
Test Cases/CuPaStefanie/2,Chrome 64.0.3282.186,,2018-03-05 16:05:16,2018-03-05 16:06:28,"1m - 11,901s",PASSED
