Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:56:31,"14m - 24,568s",FAILED
,,,,,,
Test Cases/CuPaStefanie/13,Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:42:28,"21,292s",FAILED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:42:07,"0,019s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:42:07,"0,001s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:42:07,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:42:07,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:42:07,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-05 16:42:07,2018-03-05 16:42:23,"15,285s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:42:23,2018-03-05 16:42:23,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-05 16:42:23,2018-03-05 16:42:27,"4,428s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:42:27,2018-03-05 16:42:27,"0,000s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-05 16:42:27,2018-03-05 16:42:28,"1,227s",FAILED
,,,,,,
Test Cases/CuPaStefanie/14,Chrome 64.0.3282.186,,2018-03-05 16:42:28,2018-03-05 16:42:52,"23,184s",FAILED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:42:29,2018-03-05 16:42:29,"0,001s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-05 16:42:29,2018-03-05 16:42:29,"0,000s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:42:29,2018-03-05 16:42:29,"0,000s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:42:29,2018-03-05 16:42:29,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-05 16:42:29,2018-03-05 16:42:29,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-05 16:42:29,2018-03-05 16:42:45,"16,336s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:42:45,2018-03-05 16:42:45,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-05 16:42:45,2018-03-05 16:42:50,"5,485s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-05 16:42:50,2018-03-05 16:42:50,"0,001s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-05 16:42:50,2018-03-05 16:42:52,"1,192s",FAILED
,,,,,,
Test Cases/CuPaStefanie/15,Chrome 64.0.3282.186,,2018-03-05 16:42:52,2018-03-05 16:43:16,"24,467s",FAILED
