Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-06 14:37:24,2018-03-06 14:41:55,"4m - 31,323s",PASSED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-06 14:37:24,2018-03-06 14:37:24,"0,422s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:37:24,2018-03-06 14:37:24,"0,016s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:37:24,2018-03-06 14:37:24,"0,001s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-06 14:37:24,2018-03-06 14:37:24,"0,008s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-06 14:37:24,2018-03-06 14:39:07,"1m - 43,238s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:37:25,2018-03-06 14:37:25,"0,000s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 14:37:25,2018-03-06 14:37:25,"0,000s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 14:37:25,2018-03-06 14:37:25,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 14:37:25,2018-03-06 14:37:25,"0,001s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 14:37:25,2018-03-06 14:37:25,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 14:37:25,2018-03-06 14:37:44,"19,211s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:37:44,2018-03-06 14:37:44,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 14:37:44,2018-03-06 14:37:51,"7,487s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:37:51,2018-03-06 14:37:51,"0,002s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 14:37:51,2018-03-06 14:38:02,"10,306s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:38:02,2018-03-06 14:38:02,"0,001s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 14:38:02,2018-03-06 14:38:35,"33,754s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 14:38:35,2018-03-06 14:38:35,"0,001s",PASSED
