Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CuPa,Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 08:45:48,"2h - 39m - 26,766s",PASSED
,,,,,,
Test Cases/CuPaStefanie/0,Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,234s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,015s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,000s",PASSED
Statement - ps = new java.io.PrintStream((((timeStamp + _Run) + run) + .txt)),Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,004s",PASSED
,,,,,,
Test Cases/CuPaStefanie/1,Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:07:39,"1m - 17,235s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,001s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,001s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,001s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,000s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:22,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 06:06:22,2018-03-06 06:06:35,"12,450s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:06:35,2018-03-06 06:06:35,"0,002s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 06:06:35,2018-03-06 06:06:41,"6,481s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:06:41,2018-03-06 06:06:41,"0,001s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 06:06:41,2018-03-06 06:06:48,"6,395s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:06:48,2018-03-06 06:06:48,"0,001s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 06:06:48,2018-03-06 06:07:13,"25,259s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:07:13,2018-03-06 06:07:13,"0,000s",PASSED
"Statement - iconmap += CustomKeywords.cupakeysDl.iconad.iconadd(""unionjack"", LoadTimeCorrector, step, run, device, timeStamp, iconcount)",Chrome 64.0.3282.186,,2018-03-06 06:07:13,2018-03-06 06:07:16,"3,419s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:07:16,2018-03-06 06:07:16,"0,001s",PASSED
Statement - (iconcount++),Chrome 64.0.3282.186,,2018-03-06 06:07:16,2018-03-06 06:07:16,"0,001s",PASSED
cupakeysDl.iconres.iconresize,Chrome 64.0.3282.186,,2018-03-06 06:07:16,2018-03-06 06:07:33,"16,366s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:07:33,2018-03-06 06:07:33,"0,001s",PASSED
cupakeysDl.slink.svlink,Chrome 64.0.3282.186,,2018-03-06 06:07:33,2018-03-06 06:07:36,"3,027s",PASSED
cupakeysDl.endsession.finishsession,Chrome 64.0.3282.186,,2018-03-06 06:07:36,2018-03-06 06:07:39,"3,634s",PASSED
,,,,,,
Test Cases/CuPaStefanie/2,Chrome 64.0.3282.186,,2018-03-06 06:07:39,2018-03-06 06:08:27,"47,266s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:07:39,2018-03-06 06:07:39,"0,000s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:07:39,2018-03-06 06:07:39,"0,000s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:07:39,2018-03-06 06:07:39,"0,000s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:07:39,2018-03-06 06:07:39,"0,000s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:07:39,2018-03-06 06:07:39,"0,001s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 06:07:39,2018-03-06 06:07:51,"11,451s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:07:51,2018-03-06 06:07:51,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 06:07:51,2018-03-06 06:07:57,"6,462s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:07:57,2018-03-06 06:07:57,"0,001s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 06:07:57,2018-03-06 06:08:04,"6,366s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:04,2018-03-06 06:08:04,"0,001s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 06:08:04,2018-03-06 06:08:13,"9,501s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:13,2018-03-06 06:08:13,"0,000s",PASSED
"Statement - iconmap += CustomKeywords.cupakeysDl.iconad.iconadd(""unionjack"", LoadTimeCorrector, step, run, device, timeStamp, iconcount)",Chrome 64.0.3282.186,,2018-03-06 06:08:13,2018-03-06 06:08:17,"3,409s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:17,2018-03-06 06:08:17,"0,000s",PASSED
Statement - (iconcount++),Chrome 64.0.3282.186,,2018-03-06 06:08:17,2018-03-06 06:08:17,"0,001s",PASSED
cupakeysDl.iconres.iconresize,Chrome 64.0.3282.186,,2018-03-06 06:08:17,2018-03-06 06:08:20,"3,260s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:20,2018-03-06 06:08:20,"0,001s",PASSED
cupakeysDl.slink.svlink,Chrome 64.0.3282.186,,2018-03-06 06:08:20,2018-03-06 06:08:23,"2,954s",PASSED
cupakeysDl.endsession.finishsession,Chrome 64.0.3282.186,,2018-03-06 06:08:23,2018-03-06 06:08:27,"3,653s",PASSED
,,,,,,
Test Cases/CuPaStefanie/3,Chrome 64.0.3282.186,,2018-03-06 06:08:27,2018-03-06 06:09:10,"43,316s",PASSED
Statement - timeStamp = new java.text.SimpleDateFormat(dd.MM.yyyy_HH_mm_ss).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:08:27,2018-03-06 06:08:27,"0,001s",PASSED
Statement - timeStampScreenshot = new java.text.SimpleDateFormat(dd.MM.yyyy).format(java.util.Calendar.getInstance().getTime()),Chrome 64.0.3282.186,,2018-03-06 06:08:27,2018-03-06 06:08:27,"0,000s",PASSED
Statement - iconmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:08:27,2018-03-06 06:08:27,"0,000s",PASSED
Statement - txtmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:08:27,2018-03-06 06:08:27,"0,000s",PASSED
Statement - signmap = [:],Chrome 64.0.3282.186,,2018-03-06 06:08:27,2018-03-06 06:08:27,"0,000s",PASSED
cupakeysDl.initStart.initialStart,Chrome 64.0.3282.186,,2018-03-06 06:08:27,2018-03-06 06:08:38,"11,142s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:38,2018-03-06 06:08:38,"0,001s",PASSED
cupakeysDl.color.changecolor,Chrome 64.0.3282.186,,2018-03-06 06:08:38,2018-03-06 06:08:44,"6,463s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:44,2018-03-06 06:08:44,"0,000s",PASSED
cupakeysDl.chngstruct.changestructure,Chrome 64.0.3282.186,,2018-03-06 06:08:44,2018-03-06 06:08:47,"2,843s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:47,2018-03-06 06:08:47,"0,000s",PASSED
cupakeysDl.sclstruct.scalestructure,Chrome 64.0.3282.186,,2018-03-06 06:08:47,2018-03-06 06:08:56,"8,440s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:56,2018-03-06 06:08:56,"0,000s",PASSED
"Statement - iconmap += CustomKeywords.cupakeysDl.iconad.iconadd(""racing"", LoadTimeCorrector, step, run, device, timeStamp, iconcount)",Chrome 64.0.3282.186,,2018-03-06 06:08:56,2018-03-06 06:08:59,"3,447s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:08:59,2018-03-06 06:08:59,"0,001s",PASSED
Statement - (iconcount++),Chrome 64.0.3282.186,,2018-03-06 06:08:59,2018-03-06 06:08:59,"0,001s",PASSED
cupakeysDl.iconres.iconresize,Chrome 64.0.3282.186,,2018-03-06 06:08:59,2018-03-06 06:09:03,"4,259s",PASSED
Statement - (step++),Chrome 64.0.3282.186,,2018-03-06 06:09:03,2018-03-06 06:09:03,"0,000s",PASSED
